VCF0004,VCF0302,VCF0878
2000,2,5
2000,3,1
2000,5,1
2000,2,5
2000,1,5
2000,5,5
2000,1,5
2000,5,1
2000,5,8
2000,5,8
2000,1,1
2000,5,5
2000,2,1
2000,2,5
2000,2,8
2000,1,5
2000,1,1
2000,5,1
2000,5,5
2000,1,5
2000,2,1
2000,2,5
2000,5,1
2000,5,1
2000,1,5
2000,2,8
2000,5,1
2000,1,5
2000,2,5
2000,2,1
2000,1,5
2000,5,5
2000,5,1
2000,2,5
2000,3,5
2000,2,1
2000,2,1
2000,1,1
2000,2,1
2000,5,5
2000,1,8
2000,5,8
2000,5,5
2000,5,1
2000,2,5
2000,5,5
2000,2,1
2000,5,1
2000,1,8
2000,1,5
2000,5,1
2000,1,5
2000,1,5
2000,5,1
2000,2,1
2000,1,5
2000,1,8
2000,5,1
2000,5,5
2000,1,5
2000,2,1
2000,2,1
2000,3,5
2000,3,5
2000,1,5
2000,5,1
2000,2,5
2000,2,1
2000,3,5
2000,1,1
2000,5,1
2000,3,5
2000,5,1
2000,5,5
2000,1,5
2000,2,5
2000,5,5
2000,2,1
2000,5,5
2000,2,1
2000,1,5
2000,5,5
2000,1,1
2000,3,8
2000,1,5
2000,5,5
2000,2,1
2000,2,1
2000,1,5
2000,5,1
2000,5,1
2000,1,8
2000,2,1
2000,1,5
2000,2,1
2000,5,9
2000,2,5
2000,3,5
2000,5,8
2000,1,5
2000,2,1
2000,2,1
2000,5,1
2000,2,1
2000,2,5
2000,1,8
2000,1,1
2000,1,8
2000,5,1
2000,1,5
2000,3,5
2000,1,1
2000,1,5
2000,5,5
2000,5,1
2000,2,5
2000,5,5
2000,1,5
2000,5,5
2000,5,5
2000,5,1
2000,1,5
2000,3,1
2000,5,1
2000,2,5
2000,1,5
2000,5,5
2000,1,1
2000,2,5
2000,1,5
2000,3,1
2000,5,1
2000,5,1
2000,5,5
2000,1,5
2000,5,8
2000,5,1
2000,5,5
2000,1,5
2000,5,1
2000,1,5
2000,1,5
2000,5,1
2000,5,1
2000,2,5
2000,2,5
2000,5,1
2000,1,5
2000,2,1
2000,2,1
2000,5,8
2000,1,1
2000,5,8
2000,5,8
2000,5,5
2000,2,1
2000,2,1
2000,1,5
2000,1,1
2000,4,5
2000,2,1
2000,5,8
2000,1,5
2000,5,5
2000,3,8
2000,5,5
2000,2,1
2000,1,5
2000,1,1
2000,5,5
2000,1,5
2000,3,5
2000,2,1
2000,1,5
2000,1,5
2000,5,5
2000,1,1
2000,3,5
2000,3,9
2000,1,5
2000,1,1
2000,1,1
2000,2,1
2000,1,5
2000,3,1
2000,2,1
2000,2,1
2000,1,5
2000,3,5
2000,5,1
2000,5,5
2000,1,5
2000,1,1
2000,3,5
2000,2,5
2000,5,1
2000,2,8
2000,2,1
2000,3,8
2000,1,8
2000,1,1
2000,4,1
2000,2,5
2000,4,1
2000,2,5
2000,5,5
2000,5,1
2000,2,5
2000,5,1
2000,5,5
2000,1,5
2000,2,5
2000,3,5
2000,5,5
2000,2,1
2000,2,5
2000,2,8
2000,5,1
2000,5,5
2000,5,5
2000,1,5
2000,5,8
2000,5,1
2000,5,1
2000,2,1
2000,5,5
2000,2,5
2000,3,1
2000,2,5
2000,1,5
2000,5,1
2000,3,1
2000,2,1
2000,2,5
2000,1,1
2000,3,5
2000,1,5
2000,5,1
2000,5,5
2000,2,9
2000,5,1
2000,3,5
2000,5,1
2000,2,5
2000,2,8
2000,1,5
2000,2,5
2000,1,5
2000,1,5
2000,2,5
2000,3,1
2000,2,5
2000,5,1
2000,1,5
2000,1,8
2000,2,5
2000,1,5
2000,1,8
2000,2,1
2000,5,5
2000,1,5
2000,1,1
2000,5,1
2000,5,1
2000,2,1
2000,5,5
2000,5,5
2000,5,5
2000,2,5
2000,1,5
2000,1,5
2000,3,1
2000,1,5
2000,1,1
2000,1,5
2000,1,1
2000,4,5
2000,1,1
2000,5,1
2000,2,1
2000,2,8
2000,2,1
2000,1,1
2000,4,5
2000,5,5
2000,3,5
2000,2,5
2000,2,5
2000,5,1
2000,3,5
2000,5,5
2000,1,1
2000,2,1
2000,1,1
2000,5,5
2000,5,8
2000,1,1
2000,1,5
2000,2,1
2000,2,8
2000,3,1
2000,1,5
2000,3,5
2000,1,1
2000,5,5
2000,5,5
2000,5,5
2000,1,5
2000,2,5
2000,4,5
2000,2,5
2000,5,8
2000,1,5
2000,1,1
2000,5,1
2000,5,1
2000,5,5
2000,1,5
2000,1,5
2000,5,5
2000,1,5
2000,2,5
2000,2,5
2000,1,5
2000,1,1
2000,5,1
2000,1,1
2000,1,8
2000,5,5
2000,2,5
2000,2,1
2000,1,1
2000,2,5
2000,2,5
2000,3,5
2000,3,5
2000,1,5
2000,5,5
2000,5,1
2000,5,1
2000,3,1
2000,1,1
2000,2,5
2000,2,5
2000,5,1
2000,5,5
2000,3,5
2000,5,5
2000,2,1
2000,5,8
2000,2,5
2000,5,1
2000,5,1
2000,5,5
2000,2,5
2000,2,1
2000,2,1
2000,5,5
2000,3,1
2000,5,1
2000,2,1
2000,5,1
2000,2,1
2000,2,1
2000,2,1
2000,5,5
2000,5,1
2000,5,1
2000,2,1
2000,1,5
2000,5,5
2000,5,5
2000,2,8
2000,5,8
2000,2,5
2000,2,5
2000,5,8
2000,5,1
2000,2,1
2000,2,1
2000,5,5
2000,1,5
2000,1,5
2000,1,5
2000,5,5
2000,1,5
2000,2,1
2000,2,5
2000,5,9
2000,1,5
2000,3,5
2000,1,5
2000,1,5
2000,3,9
2000,5,1
2000,2,1
2000,2,1
2000,2,5
2000,5,1
2000,1,5
2000,5,5
2000,2,8
2000,5,5
2000,2,1
2000,3,5
2000,1,8
2000,5,5
2000,2,1
2000,2,1
2000,2,1
2000,2,5
2000,1,8
2000,5,1
2000,2,5
2000,5,8
2000,2,5
2000,5,5
2000,1,5
2000,5,8
2000,2,1
2000,5,1
2000,1,5
2000,2,1
2000,1,1
2000,2,5
2000,3,5
2000,5,1
2000,5,5
2000,1,1
2000,1,1
2000,2,5
2000,5,1
2000,1,5
2000,5,5
2000,2,5
2000,5,1
2000,3,1
2000,5,1
2000,2,1
2000,5,8
2000,5,5
2000,2,5
2000,1,5
2000,3,1
2000,2,1
2000,5,5
2000,3,5
2000,5,5
2000,5,5
2000,3,5
2000,1,1
2000,5,1
2000,1,5
2000,1,1
2000,2,1
2000,2,1
2000,2,1
2000,2,5
2000,1,5
2000,1,5
2000,5,1
2000,5,8
2000,1,5
2000,1,1
2000,5,5
2000,1,1
2000,1,5
2000,5,1
2000,5,5
2000,2,1
2000,1,1
2000,5,1
2000,8,1
2000,2,1
2000,1,1
2000,2,1
2000,2,1
2000,2,5
2000,5,8
2000,1,5
2000,1,1
2000,3,5
2000,3,1
2000,5,5
2000,3,1
2000,3,5
2000,2,5
2000,2,1
2000,2,1
2000,2,5
2000,5,1
2000,1,1
2000,2,1
2000,3,8
2000,2,1
2000,5,1
2000,5,1
2000,5,1
2000,5,5
2000,3,1
2000,1,5
2000,2,5
2000,2,5
2000,1,5
2000,3,5
2000,5,1
2000,1,5
2000,5,1
2000,5,1
2000,5,1
2000,5,5
2000,5,5
2000,1,5
2000,5,5
2000,5,5
2000,1,1
2000,5,1
2000,2,5
2000,1,5
2000,2,1
2000,1,5
2000,2,1
2000,5,1
2000,5,1
2000,3,5
2000,5,8
2000,1,1
2000,1,5
2000,1,5
2000,1,5
2000,1,5
2000,1,1
2000,3,5
2000,5,1
2000,1,1
2000,1,5
2000,2,1
2000,3,1
2000,3,1
2000,5,1
2000,5,5
2000,1,5
2000,5,8
2000,1,5
2000,8,5
2000,3,1
2000,2,1
2000,1,1
2000,5,5
2000,5,5
2000,2,5
2000,2,5
2000,2,5
2000,2,1
2000,4,1
2000,3,5
2000,3,5
2000,1,5
2000,2,5
2000,5,8
2000,1,5
2000,2,1
2000,3,1
2000,1,1
2000,2,5
2000,2,5
2000,3,5
2000,5,1
2000,1,8
2000,1,1
2000,5,5
2000,2,5
2000,3,1
2000,3,1
2000,2,5
2000,2,5
2000,5,1
2000,5,5
2000,5,5
2000,5,8
2000,5,1
2000,2,1
2000,1,8
2000,1,5
2000,1,5
2000,5,5
2000,5,5
2000,3,1
2000,5,1
2000,2,5
2000,5,5
2000,5,1
2000,3,5
2000,2,1
2000,3,5
2000,5,1
2000,2,5
2000,3,9
2000,2,1
2000,1,1
2000,5,5
2000,5,5
2000,5,5
2000,5,5
2000,2,5
2000,5,1
2000,5,5
2000,5,5
2000,1,8
2000,5,1
2000,2,5
2000,5,1
2000,2,1
2000,5,5
2000,1,1
2000,5,5
2000,5,1
2000,3,5
2000,5,5
2000,5,1
2000,5,1
2000,1,8
2000,1,8
2000,1,5
2000,3,5
2000,2,8
2000,5,5
2000,5,1
2000,3,5
2000,5,5
2000,3,5
2000,5,8
2000,5,1
2000,2,5
2000,2,5
2000,5,1
2000,3,5
2000,5,5
2000,1,5
2000,5,1
2000,1,5
2000,2,8
2000,3,1
2000,2,5
2000,2,8
2000,5,5
2000,2,5
2000,2,1
2000,2,1
2000,2,1
2000,5,9
2000,2,1
2000,1,5
2000,1,5
2000,3,1
2000,2,1
2000,5,5
2000,5,1
2000,1,5
2000,4,1
2000,5,1
2000,2,1
2000,3,5
2000,5,1
2000,5,5
2000,5,5
2000,1,5
2000,2,5
2000,1,5
2000,1,1
2000,1,5
2000,2,1
2000,2,5
2000,1,5
2000,2,5
2000,3,8
2000,1,9
2000,2,1
2000,2,5
2000,2,1
2000,5,1
2000,3,8
2000,2,1
2000,5,5
2000,3,8
2000,1,5
2000,5,5
2000,2,5
2000,1,5
2000,5,8
2000,1,5
2000,1,5
2000,2,5
2000,3,5
2000,5,1
2000,5,1
2000,2,8
2000,2,5
2000,5,1
2000,1,1
2000,5,5
2000,5,1
2000,5,5
2000,1,5
2000,5,1
2000,2,5
2000,5,1
2000,1,5
2000,5,1
2000,1,5
2000,2,1
2000,1,1
2000,5,1
2000,2,5
2000,2,1
2000,1,5
2000,2,1
2000,1,1
2000,5,1
2000,5,1
2000,5,5
2000,2,1
2000,5,1
2000,5,1
2000,1,1
2000,2,5
2000,5,5
2000,2,1
2000,2,1
2000,2,5
2000,3,5
2000,1,5
2000,1,5
2000,5,5
2000,1,1
2000,4,5
2000,1,5
2000,1,1
2000,2,1
2000,5,5
2000,3,5
2000,2,5
2000,3,5
2000,3,5
2000,1,5
2000,5,5
2000,2,9
2000,5,1
2000,1,5
2000,1,5
2000,5,1
2000,5,5
2000,5,5
2000,3,5
2000,2,8
2000,1,8
2000,2,5
2000,2,5
2000,1,1
2000,2,5
2000,2,1
2000,5,8
2000,5,5
2000,3,5
2000,1,1
2000,3,5
2000,2,1
2000,5,5
2000,2,5
2000,5,5
2000,5,5
2000,5,5
2000,5,5
2000,5,1
2000,1,5
2000,1,5
2000,5,1
2000,2,8
2000,5,1
2000,5,5
2000,5,1
2000,2,8
2000,1,5
2000,5,1
2000,5,1
2000,3,1
2000,5,1
2000,5,5
2000,1,5
2000,2,5
2000,1,5
2000,2,5
2000,1,5
2000,5,5
2000,1,5
2000,5,1
2000,5,5
2000,1,5
2000,5,5
